,date,open,high,low,close,volume
1190,2016/12/4,5381.66,5448.84,5358,5420.64,1441379.582
1191,2016/12/5,5420.55,5480,5236.97,5309,1622507.701
1192,2016/12/6,5309,5342,5251.04,5317.01,1247464.831
1193,2016/12/7,5317.01,5345.67,5275.46,5322.41,897399.8819
1194,2016/12/8,5322.23,5398,5303,5372,931207.6599
1195,2016/12/9,5372,5396.6,5328.01,5365.08,930350.543
1196,2016/12/10,5365.08,5426.8,5350.01,5412.48,3741926.001
1197,2016/12/11,5412.48,5428,5318,5352.7,3141819.751
1198,2016/12/12,5352.73,5483.92,5343.5,5462.56,2832163.752
1199,2016/12/13,5462.56,5534.9,5350,5454.34,1015188.068
1200,2016/12/14,5454.45,5475,5370.01,5399.58,717747.3997
1201,2016/12/15,5399.42,5467.78,5390.1,5448.02,688010.6619
1202,2016/12/16,5448.02,5520,5425.69,5490.97,865714.1775
1203,2016/12/17,5490.8,5608.53,5490,5564.69,861713.051
1204,2016/12/18,5564.69,5604,5538.42,5545.57,654426.557
1205,2016/12/19,5545.69,5595,5540,5570.91,528402.431
1206,2016/12/20,5570.82,5588,5558,5577.02,674950.1703
1207,2016/12/21,5577.04,5874,5574.04,5864.03,2126420.838
1208,2016/12/22,5864.03,6179.78,5818.01,6124.55,5013089.251
1209,2016/12/23,6124.85,6468.3,6050,6363.55,2546398.031
1210,2016/12/24,6363.24,6596.96,6250,6373.03,2359713.461
1211,2016/12/25,6373.46,6479.82,6170,6290,1962840.236
1212,2016/12/26,6289.4,6549,6260,6480.79,2274695.208
1213,2016/12/27,6480.84,6735.69,6436,6688.67,2028129.552
1214,2016/12/28,6688.67,6946.7,6650,6766.73,1755201.74
1215,2016/12/29,6766.66,6990,6741,6856.66,1654647.374
1216,2016/12/30,6856.76,6930,6608,6823.98,1846829.536
1217,2016/12/31,6823.94,6875,6666.2,6788.87,1654759.149
1218,2017/1/1,6788.87,6948.96,6777,6946,1251959.902
1219,2017/1/2,6945.37,7399,6935.02,7396,2045058.431
1220,2017/1/3,7397.16,7489,7301.92,7366.7,2014888.606
1221,2017/1/4,7366.7,7990,7348.01,7887.53,2289299.861
1222,2017/1/5,7887.61,8895,6000,6910,3752035.366
