date,open,high,low,close,volume,NVT
2016-08-07,3754.06,3953.89,3747.94,3931.03,510306.7308,79.50942675
2016-08-08,3931.03,3948.0,3831.01,3912.17,418634.6342,67.5585211
2016-08-09,3912.0,3935.0,3844.24,3905.06,335552.3757,67.5585211
2016-08-10,3905.06,3994.34,3871.0,3975.2,370298.0026,53.24967416
2016-08-11,3975.85,3987.0,3936.71,3952.2,292598.4595,53.24967416
2016-08-12,3952.33,3952.65,3857.67,3915.9,354428.5586,61.03097558
2016-08-13,3915.9,3932.0,3872.0,3906.67,210001.4509,61.03097558
2016-08-14,3906.67,3921.1,3790.01,3812.91,297628.4397,77.43140299
2016-08-15,3812.06,3838.0,3734.68,3751.4,327585.0675,77.43140299
2016-08-16,3751.4,3856.0,3727.17,3850.03,299176.0029,49.8937229
2016-08-17,3850.07,3875.0,3806.2,3814.88,226547.3303,49.8937229
2016-08-18,3814.97,3835.0,3785.0,3823.52,190432.8802,63.91759202
2016-08-19,3823.52,3856.57,3806.01,3825.0,203222.8931,63.91759202
2016-08-20,3825.0,3903.0,3816.0,3874.54,188694.8844,80.98203356
2016-08-21,3874.65,3917.24,3861.0,3875.24,209160.0872,80.98203356
2016-08-22,3875.28,3937.0,3868.51,3933.0,169701.5244,63.34267827
2016-08-23,3933.0,3943.0,3848.0,3849.58,261532.5133,63.34267827
2016-08-24,3849.56,3891.1,3839.0,3867.0,170141.8793,58.45630969
2016-08-25,3867.0,3869.0,3821.0,3838.3,157520.3414,58.45630969
2016-08-26,3838.3,3880.0,3835.1,3864.66,140238.423,73.85062777
2016-08-27,3864.66,3874.0,3760.0,3781.66,150994.1067,73.85062777
2016-08-28,3781.85,3840.73,3758.0,3817.59,154581.5035,110.44498109999999
2016-08-29,3817.59,3855.5,3813.1,3844.86,129173.8068,110.44498109999999
2016-08-30,3844.77,3887.0,3816.76,3860.26,175489.0736,59.92507571
2016-08-31,3860.26,3884.48,3831.0,3844.15,141908.9875,59.92507571
2016-09-01,3844.23,3865.0,3822.31,3834.02,148147.3841,56.44279559
2016-09-02,3833.9,3868.1,3813.24,3851.44,137318.8067,56.44279559
2016-09-03,3851.39,3859.0,3830.0,3842.74,105732.5725,90.38854778
2016-09-04,3842.74,4135.0,3839.23,4098.61,360743.11600000004,90.38854778
2016-09-05,4098.29,4135.5,4055.0,4079.78,295916.3659,60.97563241
2016-09-06,4079.78,4117.0,4065.02,4092.5,191500.8511,60.97563241
2016-09-07,4092.28,4112.0,4062.0,4092.57,191017.9364,68.46311725
2016-09-08,4092.8,4180.0,4077.99,4164.52,808651.0638,68.46311725
2016-09-09,4164.65,4166.98,4102.16,4128.1,695146.8732,66.67537781
2016-09-10,4128.09,4158.15,4119.97,4140.85,247444.0566,66.67537781
2016-09-11,4140.99,4166.6,4130.1,4151.88,284366.7705,96.9079074
2016-09-12,4151.85,4213.95,3908.0,4020.85,820379.1037,96.9079074
2016-09-13,4020.85,4054.25,4011.0,4044.3,344787.8158,66.76907173
2016-09-14,4044.3,4071.72,4035.0,4056.33,332977.5889,66.76907173
2016-09-15,4056.32,4062.09,4036.0,4043.12,236054.4614,78.85268994
2016-09-16,4043.12,4062.0,4015.0,4044.64,293230.2058,78.85268994
2016-09-17,4044.64,4048.5,4020.0,4034.55,246554.5607,104.0867118
2016-09-18,4034.57,4086.58,4031.0,4072.72,661477.7928,104.0867118
2016-09-19,4072.74,4092.0,4056.0,4060.0,955845.8095,71.83096417
2016-09-20,4060.0,4070.48,4051.0,4057.65,624204.2822,71.83096417
2016-09-21,4057.65,4065.0,3890.0,3971.39,994612.6847,62.29316233
2016-09-22,3971.5,3988.63,3960.51,3976.17,687026.9368,62.29316233
2016-09-23,3976.13,4019.0,3962.81,4014.22,929610.3984,66.61066675
2016-09-24,4014.24,4028.24,3988.06,4006.5,921341.6719,66.61066675
2016-09-25,4006.39,4020.0,3972.0,3982.05,593457.2988,62.08334916
2016-09-26,3982.0,4060.37,3977.0,4039.29,1294642.729,62.08334916
2016-09-27,4039.28,4055.0,4017.0,4039.91,959579.4155,65.08823503
2016-09-28,4039.84,4076.03,4015.0,4040.17,835610.2194,65.08823503
